abn,webid,success,attempts,status_code,note
66423882776,66275d070c719f25ead9799af6a051b3,1,20,200,All good
26779227907,39215c61a12a52233a596c6489a35364,1,20,200,All good
29186184660,08758a0d2eee17f176f7ef75a7a42b95,1,20,200,All good
52603681670,c3dd0cb63f754b923cc6c897f51d33ec,1,20,200,All good
43101693449,c987cf1067adf40a6f1aed69daa0cfeb,1,20,200,All good
19885187707,823786b331184f0e85f819e66b18ab61,1,20,200,All good
59717746323,42a52b3b5f127ef39fe44a30dffcd717,1,20,200,All good
12782876905,a8b520dd593349d45c7a6b1e05b16cad,1,20,200,All good
72618612652,c2d9293049f841fb90879a78ecac96eb,1,20,200,All good
45335191581,de80efab83ab0435d9c080bcb0c025b6,1,20,200,All good
84050092422,57defb5b4f846b522966b8e8e65ad087,1,20,200,All good
31575460139,03e9345dff0736eba5b6cfc3fc13c517,1,20,200,All good
29148109535,aff400c3c4ca179547995c1702514350,1,20,200,All good
14232196950,19e4bb86a42e760df0545f4309a5e9a2,1,20,200,All good
68234010351,8c4f34e6205caa5757cc0eb62fc446c5,1,20,200,All good
55501325812,4fd098788dcf2802c14ed5333e450e05,1,20,200,All good
18317667045,0b41663c6cba246f3c8feb93c79d95cc,1,20,200,All good
30618348830,efc2a7de05a8a54ef597163fd54b5a4a,1,20,200,All good
67600518223,e41f232b6f1bd55277231e20810db717,1,20,200,All good
86352831972,6972b0149a719a6fc6c5f6eac7eae9b8,1,20,200,All good
69093616835,eadfa046d0c680034242f1e58651edb2,1,20,200,All good
44954763013,add85420ef0b6d6ae4c6ad3c5bf240cf,1,20,200,All good
79098660130,fe447b235ecc11482ff2ee200e14f8e1,1,20,200,All good
12602293587,a22719b4b3890cffff79cd8e1bb86d8f,1,20,200,All good
40309389462,e67a233138e2077db658ec465fbf6238,1,20,200,All good
19064456800,81d450b8de53bfb51c5163496fab60da,1,20,200,All good
23135951905,76668e5e3b930ee355e525dfbfbfa164,1,20,200,All good
19416546368,27d8aa98039889b32af63490d2200cc9,1,20,200,All good
17798511721,9ee09d4edde6f98ab16db1c11a751248,1,20,200,All good
88383595786,867d743a51f84045d278e6f74b0d0175,1,20,200,All good
85631934677,212932da65c659e86ce3c6004940f337,1,20,200,All good
24942084905,39dfa000222b206777372dbb006489fa,1,20,200,All good
30996171084,b619da0c2fbfcd2d88bdb903ed62d039,1,20,200,All good
67807833911,197d6a305f807c7acab5419f31a42b0f,1,20,200,All good
30628556126,155791d82742166749a9e3ab9a495807,1,20,200,All good
70621725818,114ae696bfc54ad019ac67192940c041,1,20,200,All good
98709072230,23724ac9e4908f9313e2a55d458c3f51,1,20,200,All good
61118984697,e9699dd078610903681c123e0ae8d81d,1,20,200,All good
47104732749,a1d36435a053b66a7605289daedf9cae,1,20,200,All good
98249386677,000581f5f33f0fc61cd39693ff59e135,1,20,200,All good
65323033457,adf4af830c9cd8c4d067d757b55822a8,1,20,200,All good
40691053541,833efc98646d4daaa8585b20dd4e32c2,1,20,200,All good
84732527013,b6338988e03a9a9209aabeb150d05bed,1,20,200,All good
28519327557,af9ded6b95d3e199f4fef5e546a072ce,1,20,200,All good
89253204275,30def023645c533ab5a1880f91fb8b95,1,20,200,All good
49107529262,c52546d0ee85dac45cc53b25fe11638c,1,20,200,All good
67507322550,6e13d2fe7b923df1420a65c24c863448,1,20,200,All good
29113922713,5636c3f4c2ec9a3924b3dcd49a3a3820,1,20,200,All good
29469078143,9616be3d8bdb45ba0318776f56498c5a,1,20,200,All good
64615652778,f794578d7e6100e4a16b59da49312f9b,1,20,200,All good
65161778123,c19ff8d08786afe4e7e9ecec593220b5,1,20,200,All good
50002506470,8a0b65111eda2132b71c933242180fd5,1,20,200,All good
91193572635,94550bb361e6f3d4a45e26c09f5f58de,1,20,200,All good
85079312313,999017fa590320b2d8de8a779804a41b,1,20,200,All good
46946574148,b7288151fd550e973ee6808f7d3a90a5,1,20,200,All good
63144947188,9cfd00cca8071510adb313de6224ad3f,1,20,200,All good
45577233292,1b628426309f0d6095151cf49e1c81e8,1,20,200,All good
95559199061,2d4b8493196ed7d27a86e95f8f53e14a,1,20,200,All good
38739013713,ea87c4620cae4e73cb7fe8ba2a78deaa,1,20,200,All good
77428160468,9f3392201488e0245208b45ee37dcf32,1,20,200,All good
78295487149,75adb07f88d64b22840585849875113a,1,20,200,All good
35009569106,44b645a6bf5c6b74bed2a2cae513ae6b,1,20,200,All good
97110213326,499a1e4cd3af1e0c1ccfd070fbd669af,1,20,200,All good
72614706141,fb270c787919ad1762505633961d8220,1,20,200,All good
85668789122,78a4931239647e38c5747d9c9ea9828a,1,20,200,All good
20001342301,964e86297da4594064859c933b8ff8b6,1,20,200,All good
81750381818,641e2f584e53f43b60950770ba17ec00,1,20,200,All good
96418358489,49d44735bb15163759ca231694593148,1,20,200,All good
28478286143,3324ba02d427de818b0c274abc47b34c,1,20,200,All good
77844283248,894fa00bc0afde7c5483b63de5da072a,1,20,200,All good
28233134566,cff790bc23a00e1af752c0ac53097297,1,20,200,All good
93091358684,d829bf4eeee0e5befd0ce82f6e4daaf3,1,20,200,All good
75162042131,53b233a3d2801d71cfe61d8e9797b677,1,20,200,All good
44440882245,fae1e92fb876bf92b2c4eba721446943,1,20,200,All good
24387128714,291304152827c73f6545150524164da9,1,20,200,All good
12534505930,60bfe3f680819b69b6a4939408236d39,1,20,200,All good
65891648209,bbc5851d7b13ffdef9f376edcfadb244,1,20,200,All good
32615268641,f7daf26e6e96847f4dd8823986cee881,1,20,200,All good
51619339856,ec3de97440422dc0a9cf2f63ec693785,1,20,200,All good
91637994720,c92c154c60ba34b315528db2615460b5,1,20,200,All good
42727547365,c61fda98cec86baad86580ecde7300d1,1,20,200,All good
41783933713,b652ba9bda589e9b808ff71bc741f3e2,1,20,200,All good
39032093550,c6867135f86b83550bfb85f457c5d6a1,1,20,200,All good
24634332317,0f3bff42bdfea926d25b00a51a287638,1,20,200,All good
92370560313,2b81028f9d9bb61cef0b8eb7fc63b905,1,20,200,All good
73162014759,2e2f26bf9935a3fe9bee8e795196af50,1,20,200,All good
34852153636,a97f379b6dc1626983f82ad51f6765bb,1,20,200,All good
61043118175,c3b5c1726b43b96965240bdea499771b,1,20,200,All good
99660466747,8fb075394c63882d75b0bab653458d5a,1,20,200,All good
49120110074,8cf8c9f366022ecb70049ebc4232a4b0,1,20,200,All good
89922774327,8654cf66ca3af158599e8169f337e5f1,1,20,200,All good
36236152916,1a61029fce04c0826ab199c5662ac01d,1,20,200,All good
49411415493,6e23bebc126244279b61d1072d6c5050,1,20,200,All good
58581038390,6d9d63372d70027100e098c054eaaa90,1,20,200,All good
23527604045,df7f895fedace68eed0c4de0c8b1ad32,1,20,200,All good
93865911384,040be78b68da9fce67c071d64faa12e4,1,20,200,All good
86780010507,2f82bd6269ca6a7b7a4ffe5c45ef4cd0,1,20,200,All good
28073235668,87dcbca610e7ed94fb9ea882ba525fe7,1,20,200,All good
