Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
33,Bangladesh,"780,857",+698,"12,181",+32,"723,094","+1,058","45,582","1,139","4,701",73,"5,718,063","34,421","166,119,101",Asia,213,"13,638",29,4,0.2,274
34,Jordan,"724,154",,"9,259",,"710,445",,"4,450",729,"70,365",900,"6,940,992","674,446","10,291,397",Asia,14,"1,112",1,,,432
35,Serbia,"706,458",,"6,681",,"677,135",,"22,642",99,"81,141",767,"4,009,511","460,515","8,706,580",Europe,12,"1,303",2,,,"2,601"
36,Japan,"683,175","+5,263","11,508",+45,"595,177","+5,133","76,490","1,227","5,416",91,"13,122,469","104,033","126,137,802",Asia,185,"10,961",10,42,0.4,606
37,Switzerland,"682,160","+2,650","10,736",+5,"621,695","+1,400","49,729",183,"78,321","1,233","7,338,506","842,556","8,709,819",Europe,13,811,1,304,0.6,"5,710"
38,Austria,"637,573",+476,"10,480",+6,"617,307","+1,159","9,786",293,"70,440","1,158","36,531,447","4,036,073","9,051,236",Europe,14,864,0,53,0.7,"1,081"
39,UAE,"547,411","+1,229","1,633",+2,"527,519","+1,217","18,259",,"54,771",163,"47,061,854","4,708,795","9,994,457",Asia,18,"6,120",0,123,0.2,"1,827"
40,Lebanon,"535,753",,"7,620",,"497,198",,"30,935",333,"78,802","1,121","4,183,866","615,392","6,798,700",Asia,13,892,2,,,"4,550"
41,Morocco,"514,944",,"9,098",,"503,181",,"2,665",96,"13,809",244,"6,380,889","171,108","37,291,548",Africa,72,"4,099",6,,,71
42,Malaysia,"474,556","+4,446","1,947",+45,"429,103","+2,784","43,506",522,"14,500",59,"10,573,102","323,070","32,727,008",Asia,69,"16,809",3,136,1,"1,329"
43,Nepal,"464,218","+9,198","5,215",+214,"345,523","+5,767","113,480",,"15,687",176,"2,792,673","94,372","29,592,220",Asia,64,"5,674",11,311,7,"3,835"
44,Saudi Arabia,"433,094",,"7,162",,"417,787",,"8,145","1,376","12,274",203,"17,970,506","509,290","35,285,426",Asia,81,"4,927",2,,,231
